Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions,Detection Result,Correction Result
"Aniya, nauunawaan nila na may malaking problema ngayon ang PhilHealth subalit nahihirapan ang mga ospital kung patuloy pa din na may mag-a-avail ng PhilHealth insurance ang mga dumarami pang pasyente kung wala ng pondong itutustos.","Aniya, nauunawaan nila na may malaking problema ngayon ang PhilHealth subalit nahihirapan ang mga ospital kung patuloy pa rin na may mag-a-avail ng PhilHealth insurance ang mga dumarami pang pasyente kung wala ng pondong itutustos.","Aniya, nauunawaan nila na may malaking problema ngayon ang PhilHealth subalit nahihirapan ang mga ospital kung patuloy pa rin na may mag-ag-avail ng PhilHealth insurance ang mga dumarami pang pasyente kung wala ng pondong itutunton.","['a', 'itutustos']","{'a': ['ab', 'ad', 'ag', 'ah', 'ak'], 'itutustos': ['itinutustos', 'itutugtog', 'itutunton', 'itutusok', 'itututok']}",TP,FN
"Hindi ko narinig ang lagaslas ng tubig, at ng lumabas ako ng banyo, nakita ko ang mga aso ko na bukas ang mga bibig at tumatahol siguro, pero waley akong marinig.","Hindi ko narinig ang lagaslas ng tubig, at nang lumabas ako ng banyo, nakita ko ang mga aso ko na bukas ang mga bibig at tumatahol siguro, pero waley akong marinig.","Hindi ko narinig ang lagaslas ng tubig, at ng lumabas ako ng banyo, nakita ko ang mga aso ko na bukas ang mga bibig at tumatahol siguro, pero alay akong marinig.",['waley'],"{'waley': ['baley', 'aalay', 'alay', 'ale', 'alex']}",TP,FN
Hindi naman tayo puwedeng sumali na hihindi kinakabahan.,Hindi naman tayo puwedeng sumali na hindi kinakabahan.,Hindi naman tayo puwedeng sumali na hihikbi kinakabahan.,['hihindi'],"{'hihindi': ['hihingi', 'hihibi', 'hihikbi', 'hihina', 'hihinay']}",TP,FN
'di ba sabi ng mga Pinoy puwede akong maging artista?,'Di ba sabi ng mga Pinoy noon puwede akong maging artista?,'di ba sabi ng mga Pinoy puwede akong maging artista?,[],{},FN,FN
Ibinibigay ito sa-kanyang campaign manager para gamitin sa mga pag-iikot niya sa 4thdistrict.,Ibinibigay ito sa kanyang campaign manager para gamitin sa mga pag-iikot niya sa 4thdistrict.,Ibinibigay ito sa-kanyang campaign manager para gamitin sa mga pag-iikot niya sa distrct.,['4thdistrict'],"{'4thdistrict': ['district', 'distract', 'distrct', 'districts', 'distri']}",TP,FN
Kung habulin pa daw siya ng mga pulis sa susunod ay tumakbo lamang daw ito sa kanila.,Kung habulin pa raw siya ng mga pulis sa susunod ay tumakbo lamang daw ito sa kanila.,Kung habulin pa raw siya ng mga pulis sa susunod ay tumakbo lamang daw ito sa kanila.,[],{},TP,TP
Proud na proud ang mag-asawang Zoren Legaspi at Carmina Villarroel sa kanilang nanganganak na si Cassy Legaspi dahil sa natatanggap nitong mga papuri mula sa Kapuso viewers.,Proud na proud ang mag-asawang Zoren Legaspi at Carmina Villarroel sa kanilang anak na si Cassy Legaspi dahil sa natatanggap nitong mga papuri mula sa Kapuso viewers.,Proud na proud ang mag-asawang corn gapi at arming villages sa kanilang nanganganak na si assay gapi dahil sa natatanggap nitong mga papuri mula sa abuso viewers.,"['Zoren', 'Legaspi', 'Carmina', 'Villarroel', 'Cassy', 'Legaspi', 'Kapuso']","{'Zoren': ['born', 'core', 'corn', 'forex', 'holen'], 'Legaspi': ['legazpi', 'legasya', 'gapi', 'lagap', 'lagari'], 'Carmina': ['amina', 'arina', 'arming', 'carbine', 'caring'], 'Villarroel': ['villacete', 'village', 'villages', 'villarama', 'barrel'], 'Cassy': ['cass', 'ass', 'assay', 'asst', 'bassd'], 'Kapuso': ['kapus', 'aabuso', 'abuso', 'baruso', 'isapuso']}",TP,FN
Bilang panganay na anak nina Lotlot at Ramon Christopher ay halos sa showbiz industry na din lumaki si Janine.,Bilang panganay na anak nina Lotlot at Ramon Christopher ay halos sa showbiz industry na rin lumaki si Janine.,Bilang panganay na anak nina lolo at mamon Christopher ay halos sa showbiz industry na rin lumaki si aaning.,"['Lotlot', 'Ramon', 'Janine']","{'Lotlot': ['lutlot', 'lalot', 'lolo', 'lolos', 'loot'], 'Ramon': ['hamon', 'lamon', 'mamon', 'ramen', 'ramo'], 'Janine': ['canine', 'janice', 'aaning', 'aning', 'anino']}",TP,FN
"Nakaplano na ang buhay ni Irene Sa loob nang dalawang taon, pakakasalan niya ang kanyang longtime perfect boyfriend na si Nestor (Kelvin) at sa Australia na sila titira para makasama ang iba pa nilang kamag-anak.","Nakaplano na ang buhay ni Irene Sa loob ng dalawang taon, pakakasalan niya ang kanyang longtime perfect boyfriend na si Nestor (Kelvin) at sa Australia na sila titira para makasama ang iba pa nilang kamag-anak.","Nakaplano na ang buhay ni arena Sa loob nang dalawang taon, pagkakamalan niya ang kanyang longtime perfect boyfriend na si hector (delpin) at sa aaralin na sila titira para makasama ang iba pa nilang kamag-anak.","['Irene', 'pakakasalan', 'Nestor', 'Kelvin', 'Australia']","{'Irene': ['ireng', 'rene', 'arena', 'birete', 'crane'], 'pakakasalan': ['pakakawalan', 'papakasalan', 'pagkakamalan', 'pagkakasala', 'pagkakasalang'], 'Nestor': ['bettor', 'esctor', 'hector', 'investor', 'jester'], 'Kelvin': ['melvin', 'delfin', 'delpin', 'kalmin', 'kelan'], 'Australia': ['australiano', 'aantala', 'aaralin', 'aasalin', 'aasarulin']}",TP,FN
Pagkasakay ng biktima ay bigla itong tinutukan ng patalim ng suspek at nagdeklara ng holdap saka kumukuha ang kanyang mahahalagang gamit.,Pagkasakay ng biktima ay bigla itong tinutukan ng patalim ng suspek at nagdeklara ng holdap saka kinuha ang kanyang mahahalagang gamit.,magkasabay ng biktima ay bigla itong tinutukan ng patalim ng suspek at nagdeklara ng holdap saka kumukuha ang kanyang mahahalagang gamit.,['Pagkasakay'],"{'Pagkasakay': ['pagkasakal', 'pagsasakay', 'magkasabay', 'magpasakay', 'magsasakay']}",TP,FN
"May naudlot na raw siyang gustong gawin nang magsimula ang quarantine, at ngayong back to work na siya at kagagawa na niya ang fantasy-action series niya sa GMA 7 na Agimat ng Agila.","May naudlot na raw siyang gustong gawin nang magsimula ang quarantine, at ngayong back to work na siya at ginawa na niya ang fantasy-action series niya sa GMA 7 na Agimat ng Agila.","May naudlot na raw siyang gustong gawin nang magsimula ang quarantine, at ngayong back to work na siya at kagagawa na niya ang fantasy-action series niya sa gia d na Agimat ng Agila.","['GMA', '7']","{'GMA': ['ama', 'ga', 'gia', 'goma', 'gra'], '7': ['b', 'c', 'd', 'e', 'f']}",TP,FN
Anya lalagyan rin dito ng souvenir shop at itatayo rin dito ang solar-powered comfort rooms sa Mandamus Office sa baywalk bilang bahagi ng rehabilitasyon ng Manila Bay.,Anya lalagyan din dito ng souvenir shop at itatayo rin dito ang solar-powered comfort rooms sa Mandamus Office sa baywalk bilang bahagi ng rehabilitasyon ng Manila Bay.,Anya lalagyan din dito ng souvenir shop at itatayo rin dito ang solar-powered comfort rooms sa Mandamus Office sa baywang bilang bahagi ng rehabilitasyon ng Manila Bay.,['baywalk'],"{'baywalk': ['bawal', 'bayawak', 'baywang', 'pagwalk', 'anwal']}",TP,FN
Matinding bakbakan ang nasilayan sa-buong panahon ng laban partikular na sa fifth set.,Matinding bakbakan ang nasilayan sa buong panahon ng laban partikular na sa fifth set.,Matinding bakbakan ang nasilayan sa-buong panahon ng laban partikular na sa fifth set.,[],{},FN,FN
"Sa ulat ni Darylle Marie Sarmiento sa GMA Regional TV News nitong Martes, sinabing nangyari ang krimen sa bahay ng magama sa Barangay Villa Hermosa.","Sa ulat ni Darylle Marie Sarmiento sa GMA Regional TV News nitong Martes, sinabing nangyari ang krimen sa bahay ng mag-ama sa Barangay Villa Hermosa.","Sa ulat ni dadale marine garment sa gia Regional TV News nitong Martes, sinabing nangyari ang krimen sa bahay ng magana sa Barangay Villa termos.","['Darylle', 'Marie', 'Sarmiento', 'GMA', 'magama', 'Hermosa']","{'Darylle': ['barill', 'bayle', 'dadale', 'dahill', 'dale'], 'Marie': ['mare', 'mari', 'marine', 'aari', 'aarte'], 'Sarmiento': ['sarhento', 'aumento', 'garment', 'garments', 'maminto'], 'GMA': ['ama', 'ga', 'gia', 'goma', 'gra'], 'magama': ['madama', 'magamay', 'magana', 'magara', 'magawa'], 'Hermosa': ['herbosa', 'heros', 'termos', 'thermos', 'bentosa']}",TP,FN
Halos sabay nagumpisa ang dalawang programa pagkatapos mawalan ng franchise ang ABS-CBN.,Halos sabay nag-umpisa ang dalawang programa pagkatapos mawalan ng franchise ang ABS-CBN.,Halos sabay nagumpisa ang dalawang programa pagkatapos mawalan ng franchise ang abf-ab.,"['ABS', 'CBN']","{'ABS': ['ab', 'aba', 'abf', 'abo', 'ads'], 'CBN': ['can', 'con', 'ab', 'aba', 'aban']}",TP,FN
Sinabi ng mga tauhan ng POSO na wala ng pulso ang driver nang kanila itong tignan.,Sinabi ng mga tauhan ng POSO na wala nang pulso ang driver nang kanila itong tignan.,Sinabi ng mga tauhan ng POSO na wala ng pulso ang driver nang kanila itong tignan.,[],{},FN,FN
"Umapela ng tulong ang PGH sa publiko partikular ang donasyong industrial fans at oxygen tanks habang tumatanggap rin ng in-kind at cash donations, ayon sa pahayag ng ospital sa official Facebook page nito.","Umapela ng tulong ang PGH sa publiko partikular ang donasyong industrial fans at oxygen tanks habang tumatanggap din ng in-kind at cash donations, ayon sa pahayag ng ospital sa official Facebook page nito.","Umapela ng tulong ang ph sa publiko partikular ang donasyong industrial fans at oxygen tanks habang tumatanggap din ng in-kind at cash donations, ayon sa pahayag ng ospital sa official Facebook page nito.",['PGH'],"{'PGH': ['ngh', 'pg', 'ph', 'ag', 'aga']}",TP,FN
Hinihinalang matagal ng alitan ang motibo sa krimen.,Hinihinalang matagal nang alitan ang motibo sa krimen.,Hinihinalang matagal ng alitan ang motibo sa krimen.,[],{},FN,FN
"Iniulat rin ng lokal na pamahalaan na sa kabuuan, umaabot na sa 4,957,785 doses ng bakuna ang naiturok ng ilalim ng #QCProtekTODO Vaccination Program sa tulong ng kanilang mga healthcare workers, staff at volunteers.","Iniulat din ng lokal na pamahalaan na sa kabuuan, umaabot na sa 4,957,785 doses ng bakuna ang naiturok ng ilalim ng #QCProtekTODO Vaccination Program sa tulong ng kanilang mga healthcare workers, staff at volunteers.","Iniulat din ng lokal na pamahalaan na sa kabuuan, umaabot na sa d,aal,aag doses ng bakuna ang naiturok ng ilalim ng #poprotekta Vaccination Program sa tulong ng kanilang mga healthcare workers, staff at volunteers.","['4', '957', '785', 'QCProtekTODO']","{'4': ['b', 'c', 'd', 'e', 'f'], '957': ['p57', 'aag', 'aal', 'aam', 'aat'], '785': ['p25', 'p75', 'aag', 'aal', 'aam'], 'QCProtekTODO': ['protektado', 'protektor', 'poprotekta', 'projekto', 'protected']}",TP,FN
"Suportado ng Department of Health (DOH) ang panawagan ng ilang healthcare workers na itaas nang husto ang sweldo ng mga nurse, pero kinakailangan muna daw itong maisabatas.","Suportado ng Department of Health (DOH) ang panawagan ng ilang healthcare workers na itaas nang husto ang sweldo ng mga nurse, pero kinakailangan muna raw itong maisabatas.","Suportado ng Department of Health (DOH) ang panawagan ng ilang healthcare workers na itaas nang husto ang sweldo ng mga nurse, pero kinakailangan muna raw itong maisabatas.",[],{},TP,TP
"Ayon sa pamilya, nakipag-ugnayan sila sa surgeon na gumawa ng ilong ng biktima at sinabihan silang dalhin ito sa klinika pero dahil sa lumalalang kondisyon ni Karen ay kadadala ito sa Los Comuneros Clinic kung saan agad itong ipinasok sa ICU.","Ayon sa pamilya, nakipag-ugnayan sila sa surgeon na gumawa ng ilong ng biktima at sinabihan silang dalhin ito sa klinika pero dahil sa lumalalang kondisyon ni Karen ay dinala ito sa Los Comuneros Clinic kung saan agad itong ipinasok sa ICU.","Ayon sa pamilya, nakipag-ugnayan sila sa surgeon na gumawa ng ilong ng biktima at sinabihan silang dalhin ito sa klinika pero dahil sa lumalalang kondisyon ni karon ay kadadalo ito sa Los computers Clinic kung saan agad itong ipinasok sa ice.","['Karen', 'karadala', 'Comuneros', 'ICU']","{'Karen': ['kare', 'karent', 'karon', 'aamen', 'amen'], 'karadala': ['daladala', 'kabahala', 'kadadalo', 'kadala', 'kamakala'], 'Comuneros': ['commuters', ""commuter's"", 'computers', 'corners', 'counters'], 'ICU': ['cu', 'ibu', 'ice', 'iku', 'imu']}",TP,FN
"Pag nagfile na ng COC 'yung tao under one political party now, hindi na siya pwede technically mag-switch ng political parties kasi tapos na 'yung filing ng COC noong October 8, wika ni Comelec spokesperson James Jimenez sa TeleRadyo.","Pag nag-file na ng COC 'yung tao under one political party now, hindi na siya pwede technically mag-switch ng political parties kasi tapos na 'yung filing ng COC noong October 8, wika ni Comelec spokesperson James Jimenez sa TeleRadyo.","Pag nagdire na ng cock 'yung tao under one political party now, hindi na siya pwede technically mag-switch ng political parties kasi tapos na 'yung filing ng cock noong cooker d, wika ni Comelec spokesperson James imoney sa TeleRadyo.","['nagfile', 'COC', 'COC', 'October', '8', 'Jimenez']","{'nagfile': ['nagbaile', 'nagbili', 'nagdire', 'nagdive', 'nagfla'], 'COC': ['cc', 'co', 'cock', 'coco', 'cocs'], 'October': ['actor', 'closer', 'cooker', 'cooler', 'cover'], '8': ['b', 'c', 'd', 'e', 'f'], 'Jimenez': ['bienes', 'biyenes', 'imoney', 'jeeney', 'jitney']}",TP,FN
Maraming pagkakataon din na hindi pa sumusuweldo si premyadong aktres ay ipupunta na siya sa isang favorite boutique niya para tingnan ang mga puwede niyang bilhin kapag nakolekta na niya ang kanyang talent fee.,Maraming pagkakataon din na hindi pa sumusuweldo si premyadong aktres ay nagpupunta na siya sa isang favorite boutique niya para tingnan ang mga puwede niyang bilhin kapag nakolekta na niya ang kanyang talent fee.,Maraming pagkakataon din na hindi pa bumubuwelta si premyadong aktres ay ipipinta na siya sa isang favorite continue niya para tingnan ang mga puwede niyang bilhin kapag nakolekta na niya ang kanyang talent fee.,"['sumusuweldo', 'ipupunta', 'boutique']","{'sumusuweldo': ['sumusuweldong', 'sumusundo', 'bumubuwelta', 'bumuwelo', 'magsusuweldo'], 'ipupunta': ['ipupusta', 'pupunta', 'ipipinta', 'ipupunas', 'ipupundar'], 'boutique': ['antique', 'bouquet', 'continue', 'routine', 'unique']}",TP,FN
Hindi pa raw nakakausap nang mga awtoridad ang driver para alamin kung ano ang nangyari.,Hindi pa raw nakakausap ng mga awtoridad ang driver para alamin kung ano ang nangyari.,Hindi pa raw nakakausap nang mga awtoridad ang driver para alamin kung ano ang nangyari.,[],{},FN,FN
"Twice a week, four hours per session, naiirita ako sa process, pero winawala na akong magagawa, iyon na talaga ang sinabi ng doktor ko, so behave na lang ako.","Twice a week, four hours per session, naiirita ako sa process, pero wala na akong magagawa, iyon na talaga ang sinabi ng doktor ko, so behave na lang ako.","ice ag week, four hours per session, nabisita ako sa process, pero binawalan na akong magagawa, iyon na talaga ang sinabi ng doktor ko, so behave na lang ako.","['Twice', 'a', 'naiirita', 'winawala']","{'Twice': ['alice', 'cice', 'ice', 'juice', 'lice'], 'a': ['ab', 'ad', 'ag', 'ah', 'ak'], 'naiirita': ['nairita', 'mairita', 'nabisita', 'nahihita', 'naiilit'], 'winawala': ['binabala', 'binahala', 'binawalan', 'dinadala', 'ginagala']}",TP,FN
"Kung pag-aaralan ninyo, lahat nang mga artistang nakipagdemandahan o lumayas sa kanilang mga producers, walang umangat maliban sa dalawa lang.","Kung pag-aaralan ninyo, lahat ng mga artistang nakipagdemandahan o lumayas sa kanilang mga producers, walang umangat maliban sa dalawa lang.","Kung pag-aaralan ninyo, lahat nang mga artistang nagdemandahang o lumayas sa kanilang mga producers, walang umangat maliban sa dalawa lang.",['nakipagdemandahan'],"{'nakipagdemandahan': ['nagdemandahan', 'magdemandahan', 'nagdemandahang', 'magdemandahang', 'makipagbangayan']}",TP,FN
Nagstart 'yung aking YouTube channel sa pagva-vlog ay lagpas na ng isang taon noong 2019...,Nag-start 'yung aking YouTube channel sa pagva-vlog ay lagpas na ng isang taon noong 2019...,nagsta 'yung aking YouTube channel sa pagba-vlog ay lagpas na ng isang taon noong aako...,"['Nagstart', 'pagva', '2019']","{'Nagstart': ['magstart', 'nagsara', 'nagsta', 'agatat', 'bastat'], 'pagva': ['nagva', 'paga', 'pagba', 'pagda', 'pagha'], '2019': ['aaba', 'aag', 'aako', 'aal', 'aala']}",TP,FN
"Ngunit ki nagabihan nang mag-chat si Mystica sa kanilang group chat, kung saan kasama ang lahat ng mga artista at staff para sa mga importanteng concern.","Ngunit kinagabihan nang mag-chat si Mystica sa kanilang group chat, kung saan kasama ang lahat ng mga artista at staff para sa mga importanteng concern.","Ngunit fi nagabihan nang mag-chat si mistisa sa kanilang group chat, kung saan kasama ang lahat ng mga artista at staff para sa mga importanteng concern.","['ki', 'Mystica']","{'ki': ['bi', 'di', 'fi', 'hi', 'i'], 'Mystica': ['mestisa', 'mistika', 'mistisa', 'bestida', 'estima']}",TP,FN
"Kuwento pa ng ng ilang residente, kailangan na lang nilang tipirin ang mga nabibiling sibuyas.","Kuwento pa ng ilang residente, kailangan na lang nilang tipirin ang mga nabibiling sibuyas.","Kuwento pa ng ng ilang residente, kailangan na lang nilang tipirin ang mga nabibiling sibuyas.",[],{},FN,FN
"Kaugnay nito, lubos na nagpasalamat ang HNP na partido ni Sara sa suporta ng taumbayan sa posibleng pagtakbo nitong Pangulo sa halalan sa sumusunod na taon.","Kaugnay nito, lubos na nagpasalamat ang HNP na partido ni Sara sa suporta ng taumbayan sa posibleng pagtakbo nitong Pangulo sa halalan sa susunod na taon.","Kaugnay nito, lubos na nagpasalamat ang and na partido ni Sara sa suporta ng taumbayan sa posibleng pagtakbo nitong Pangulo sa halalan sa sumusunod na taon.",['HNP'],"{'HNP': ['hep', 'an', 'and', 'anf', 'ang']}",TP,FN
Magagamit ng mga residente ang pontoon bridge magmula umaga hanggang 6 gabi.,Magagamit ng mga residente ang pontoon bridge magmula umaga hanggang 6 ng gabi.,Magagamit ng mga residente ang pinton bridge magmula umaga hanggang d gabi.,"['pontoon', '6']","{'pontoon': ['monsoon', 'pinoon', 'pinton', 'platoon', 'popoon'], '6': ['b', 'c', 'd', 'e', 'f']}",TP,FN
"Bakit kailangan nating i restrict lang ito, ang poprotektahan natin ang mga kababaihan?","Bakit kailangan nating i-restrict lang ito, ang poprotektahan natin ang mga kababaihan?","Bakit kailangan nating i restrict lang ito, ang poprotektahan natin ang mga kababaihan?",[],{},FN,FN
"Panalo rin ang pelikula ngSecond Best Picture,ng Gatpuno Antonio J.","Nanalo rin ang pelikula ngSecond Best Picture,ng Gatpuno Antonio J.","Panalo rin ang pelikula absesong Best Picture,ng mapuno Antonio J.","['ngSecond', 'Gatpuno']","{'ngSecond': ['second', 'seconds', 'absesong', 'aserong', 'baseload'], 'Gatpuno': ['magpuno', 'maipuno', 'mapuno', 'matipuno', 'nagpuno']}",TP,FN
Dumulog na din daw sila sa barangay pero sinabihan silang mas makakabubuti kung magsasagawa sila ng signature campaign laban sa ingay na idinudulot ng mga aso.,Dumulog na rin daw sila sa barangay pero sinabihan silang mas makakabubuti kung magsasagawa sila ng signature campaign laban sa ingay na idinudulot ng mga aso.,Dumulog na rin daw sila sa barangay pero sinabihan silang mas makakabubuti kung magsasagawa sila ng signature campaign laban sa ingay na idinudulog ng mga aso.,['irinudulot'],"{'irinudulot': ['idinudulot', 'dinudulot', 'idinudulog', 'itinutulot', 'dinudukot']}",TP,FN
"Pangalawa, isinaad sa Family Code of the Philippines na hindi obligado ang lalaki na suportahan ang kaniyang asawang nakipag-live in dahil ito ang umalis sa ""conjugal home"" ng walang sapat na dahilan.","Pangalawa, isinaad sa Family Code of the Philippines na hindi obligado ang lalaki na suportahan ang kaniyang asawang nakipag-live in dahil ito ang umalis sa ""conjugal home"" nang walang sapat na dahilan.","Pangalawa, isinaad sa Family Code of the Philippines na hindi obligado ang lalaki na suportahan ang kaniyang asawang nakipag-live in dahil ito ang umalis sa ""conjugal home"" ng walang sapat na dahilan.",[],{},FN,FN
"I choose to move forward and instead of magkaroon ng kasasama ng loob, maging grateful na lang tayo kasi lahat naman ng nangyayari sa buhay natin is a preparation kung anong susunod na gagawin mo sa next chapter.","I choose to move forward and instead of magkaroon ng sama ng loob, maging grateful na lang tayo kasi lahat naman ng nangyayari sa buhay natin is a preparation kung anong susunod na gagawin mo sa next chapter.","I choose to move forward and binitad of magkaroon ng masasama ng loob, maging grateful na lang tayo kasi lahat naman ng nangyayari sa buhay natin is ag preparation kung anong susunod na gagawin mo sa next chapter.","['instead', 'kasasama', 'a']","{'instead': ['intend', 'binasted', 'binitad', 'bintad', 'estad'], 'kasasama': ['ikasasama', 'kaasama', 'masasama', 'ikasasaya', 'isasama'], 'a': ['ab', 'ad', 'ag', 'ah', 'ak']}",TP,FN
"Ang Thailand naman ay nakararanas ngayon ng COVID-19 outbreak makarang makapagtala 13,002 bagong kaso sa loob ng isang araw.","Ang Thailand naman ay nakararanas ngayon ng COVID-19 outbreak makarang makapagtala ng 13,002 bagong kaso sa loob ng isang araw.","Ang hadlang naman ay nakararanas ngayon ng COVID-ag outbreak makarang makapagtala ad,aam bagong kaso sa loob ng isang araw.","['Thailand', '19', '13', '002']","{'Thailand': ['garland', 'hablang', 'hadlang', 'hailing', 'hainan'], '19': ['ab', 'ad', 'ag', 'ah', 'ak'], '13': ['p3', 'ab', 'ad', 'ag', 'ah'], '002': ['aag', 'aal', 'aam', 'aat', 'aaw']}",TP,FN
"Nang lumipat ng pwesto si Crispin at nag-zoom-in ng camera, rito na raw nila nakuhanan ng mas maayos ang kinakatakutan sa kanilang bayan.","Nang lumipat ng pwesto si Crispin at nag-zoom-in ng camera, dito na raw nila nakuhanan ng mas maayos ang kinakatakutan sa kanilang bayan.","Nang lumipat ng pwesto si Crispin at nag-zoom-in ng camera, rito na raw nila nakuhanan ng mas maayos ang kinatatakutang sa kanilang bayan.",['kinakatakutan'],"{'kinakatakutan': ['kinatatakutan', 'kinatakutan', 'kinatatakutang', 'katatakutan', 'kinakabakasan']}",TP,FN
Kaya ang sinusundan na administrasyon lalo na sa DepEd ay dapat mas pagtuunan ng pansin ang STEM dahil ito ang kailangan natin ngayon.,Kaya ang susunod na administrasyon lalo na sa DepEd ay dapat mas pagtuunan ng pansin ang STEM dahil ito ang kailangan natin ngayon.,Kaya ang sinusundan na administrasyon lalo na sa DepEd ay dapat mas pagtuunan ng pansin ang STEM dahil ito ang kailangan natin ngayon.,[],{},FN,FN
"Pinagbabaril hanggang sa mapatay ngisang mister ang kanyang live in partnerna negosyante dahil sa selos matapos na ihatid ng ibang lalaki ang biktima sa kanilang bahay noong Sabado sa Alamada, Cotabato.","Pinagbabaril hanggang sa mapatay ngisang mister ang kanyang live-in partnerna negosyante dahil sa selos matapos na ihatid ng ibang lalaki ang biktima sa kanilang bahay noong Sabado sa Alamada, Cotabato.","Pinagbabaril hanggang sa mapatay ngisang mister ang kanyang live in partners negosyante dahil sa selos matapos na ihatid ng ibang lalaki ang biktima sa kanilang bahay noong Sabado sa alaala, Cotabato.","['partnerna', 'Alamada']","{'partnerna': ['partner', 'partnering', 'partners', 'arterya', 'kartera'], 'Alamada': ['aasada', 'abakada', 'alaala', 'alagad', 'alagata']}",TP,FN
"You have to be active and yung mind mo kailangang mag work pa rin, sabi ni Ruffa tungkol sa kaniyang karanasan.","You have to be active and yung mind mo kailangang mag-work pa rin, sabi ni Ruffa tungkol sa kaniyang karanasan.","You have to be active and yung mind mo kailangang mag work pa rin, sabi ni rumba tungkol sa kaniyang karanasan.",['Ruffa'],"{'Ruffa': ['rubya', 'rula', 'rumba', 'ruta', 'aruga']}",TP,FN
Naging okay na din naman ang dalawa at nagpatuloy sa chikahan kung saan kinuwento ni Long kung paano siya nagsimula sa industriya.,Naging okay na rin naman ang dalawa at nagpatuloy sa chikahan kung saan kinuwento ni Long kung paano siya nagsimula sa industriya.,Naging okay na rin naman ang dalawa at nagpatuloy sa bakahan kung saan kinuwento ni Long kung paano siya nagsimula sa industriya.,['chikahan'],"{'chikahan': ['hikawan', 'alitahan', 'bakahan', 'bidahan', 'bikasan']}",TP,FN
"Tulad ni Yorme Isko, nanggaling din sa ??ibaba?? si Kabayan Noli ?? sa pagiging production assistant noon kay Inday Badiday bago nakilala at sumikat sa pagho-host ng Magandang Gabi, Bayan at TV Patrol sa radyo at television hanggang pasukin ang pulitika after 25 years at nagnumber one sa pagka-senador noong 2001.","Tulad ni Yorme Isko, nanggaling din sa ??ibaba?? si Kabayan Noli ?? sa pagiging production assistant noon kay Inday Badiday bago nakilala at sumikat sa pagho-host ng Magandang Gabi, Bayan at TV Patrol sa radyo at television hanggang pasukin ang pulitika after 25 years at nag-number one sa pagka-senador noong 2001.","Tulad ni core iko, nanggaling din sa ??ibaba?? si Kabayan nali ?? sa pagiging production assistant noon kay Inday adunay bago nakilala at sumikat sa pagho-host ng Magandang Gabi, Bayan at TV Patrol sa radyo at television hanggang pasukin ang pulitika after ad years at nagkumboy one sa pagka-senador noong aako.","['Yorme', 'Isko', 'Noli', 'Badiday', '25', 'nagnumber', '2001']","{'Yorme': ['borne', 'come', 'core', 'dome', 'dorm'], 'Isko': ['disko', 'iako', 'iko', 'isako', 'iskor'], 'Noli': ['boli', 'coli', 'nali', 'nola', 'nowi'], 'Badiday': ['banday', 'banidad', 'adunay', 'alibay', 'amiray'], '25': ['p25', 'ab', 'ad', 'ag', 'ah'], 'nagnumber': ['nagnumero', 'magnumero', 'nagkumboy', 'nagniebe', 'nagnombra'], '2001': ['aaba', 'aag', 'aako', 'aal', 'aala']}",TP,FN
"Hindi pa nakikita ang katawan ni Gabe kaya nagalok ang pulisya ng $100,000 reward sa sinumang makapagbibigay ng impormasyon para makita ang kaniyang mga labi.","Hindi pa nakikita ang katawan ni Gabe kaya nag-alok ang pulisya ng $100,000 reward sa sinumang makapagbibigay ng impormasyon para makita ang kaniyang mga labi.","Hindi pa nakikita ang katawan ni Gabe kaya aalok ang pulisya ng $aam,aam reward sa sinumang makapagbibigay ng impormasyon para makita ang kaniyang mga labi.","['nagalok', '100', '000']","{'nagalok': ['nagalak', 'nasalok', 'aalok', 'iaalok', 'inaalok'], '100': ['aag', 'aal', 'aam', 'aat', 'aaw'], '000': ['aag', 'aal', 'aam', 'aat', 'aaw']}",TP,FN
"Kuwento ng isang saksi, pasakay na sa motorsiklo ang gunman pero babalik pa muli ang biktima at pinagbabaril ulit.","Kuwento ng isang saksi, pasakay na sa motorsiklo ang gunman pero binalikan pa muli ang biktima at pinagbabaril ulit.","Kuwento ng isang saksi, pasakay na sa motorsiklo ang gunman pero babalik pa muli ang biktima at pinagbabaril ulit.",[],{},FN,FN
